,price_eur_mwh,country_code,data_source,data_type,fetch_timestamp
2025-08-15 08:00:00+01:00,43.97,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 09:00:00+01:00,6.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 10:00:00+01:00,3.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 11:00:00+01:00,0.08,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 12:00:00+01:00,0.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 13:00:00+01:00,0.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 14:00:00+01:00,1.72,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 15:00:00+01:00,23.53,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 16:00:00+01:00,33.23,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 17:00:00+01:00,61.12,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 18:00:00+01:00,100.82,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 19:00:00+01:00,111.39,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 20:00:00+01:00,144.75,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 21:00:00+01:00,142.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 22:00:00+01:00,117.63,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 23:00:00+01:00,118.82,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
